,playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
0,beaumgi01,1903,PIT,NL,WS,CF,100.0,100.0,210.0,24.0,1.0,1.0,1.0,1.0,,,
1,branski01,1903,PIT,NL,WS,1B,100.0,100.0,210.0,89.0,19.0,38.0,39.0,1.0,,,
2,clarkfr01,1903,PIT,NL,WS,LF,100.0,100.0,210.0,21.0,1.0,13.0,1.0,1.0,,,
3,colliji01,1903,BOS,AL,WS,3B,100.0,100.0,213.0,11.0,55.0,13.0,9.0,1.0,,,
4,crigelo01,1903,BOS,AL,WS,C,100.0,100.0,213.0,60.0,22.0,38.0,16.0,1.0,1.0,,
5,dinnebi01,1903,BOS,AL,WS,P,43.0,50.0,106.0,3.0,28.0,1.0,1.0,1.0,,,
6,doughpa01,1903,BOS,AL,WS,LF,100.0,100.0,213.0,15.0,10.0,13.0,9.0,1.0,,,
7,ferriho01,1903,BOS,AL,WS,2B,100.0,100.0,213.0,21.0,70.0,26.0,16.0,1.0,,,
8,freembu01,1903,BOS,AL,WS,RF,100.0,100.0,213.0,12.0,1.0,1.0,1.0,1.0,,,
9,hugheto01,1903,BOS,AL,WS,P,1.0,13.0,7.0,1.0,1.0,1.0,1.0,1.0,,,
10,kennebr01,1903,PIT,NL,WS,P,1.0,13.0,22.0,1.0,4.0,1.0,1.0,1.0,,,
11,lachaca01,1903,BOS,AL,WS,1B,100.0,100.0,213.0,85.0,10.0,38.0,24.0,1.0,,,
12,leachto01,1903,PIT,NL,WS,3B,100.0,100.0,210.0,6.0,49.0,50.0,1.0,1.0,,,
13,leevesa01,1903,PIT,NL,WS,P,15.0,26.0,31.0,1.0,7.0,1.0,1.0,1.0,,,
14,parenfr01,1903,BOS,AL,WS,SS,100.0,100.0,213.0,18.0,85.0,38.0,16.0,1.0,,,
15,phelped01,1903,PIT,NL,WS,C,86.0,88.0,186.0,40.0,16.0,26.0,1.0,1.0,1.0,,
16,phillde01,1903,PIT,NL,WS,P,58.0,63.0,132.0,3.0,28.0,13.0,1.0,1.0,,,
17,ritchcl01,1903,PIT,NL,WS,2B,100.0,100.0,210.0,23.0,88.0,1.0,39.0,1.0,,,
18,sebriji01,1903,PIT,NL,WS,RF,100.0,100.0,210.0,15.0,4.0,1.0,1.0,1.0,,,
19,smithha03,1903,PIT,NL,WS,C,1.0,13.0,25.0,3.0,4.0,13.0,1.0,1.0,1.0,,
20,stahlch01,1903,BOS,AL,WS,CF,100.0,100.0,213.0,16.0,4.0,1.0,1.0,1.0,,,
21,thompgu01,1903,PIT,NL,WS,P,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,,,
22,veilbu01,1903,PIT,NL,WS,P,1.0,1.0,22.0,1.0,1.0,13.0,1.0,1.0,,,
23,wagneho01,1903,PIT,NL,WS,SS,100.0,100.0,210.0,14.0,91.0,75.0,31.0,1.0,,,
24,youngcy01,1903,BOS,AL,WS,P,43.0,38.0,103.0,1.0,25.0,13.0,1.0,1.0,,,
25,amesre01,1905,NY1,NL,WS,P,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,,,
26,bendech01,1905,PHA,AL,WS,P,15.0,26.0,52.0,1.0,13.0,1.0,1.0,1.0,,,
27,bresnro01,1905,NY1,NL,WS,C,58.0,63.0,135.0,30.0,25.0,13.0,9.0,1.0,1.0,,
28,brownge01,1905,NY1,NL,WS,RF,58.0,63.0,135.0,4.0,1.0,13.0,1.0,1.0,,,
29,coaklan01,1905,PHA,AL,WS,P,1.0,13.0,28.0,1.0,7.0,1.0,9.0,1.0,,,
30,crossla01,1905,PHA,AL,WS,3B,58.0,63.0,129.0,8.0,19.0,1.0,9.0,1.0,,,
31,crossmo01,1905,PHA,AL,WS,SS,58.0,63.0,129.0,15.0,37.0,26.0,1.0,1.0,,,
32,dahlebi01,1905,NY1,NL,WS,SS,58.0,63.0,135.0,12.0,58.0,1.0,24.0,1.0,,,
33,davisha01,1905,PHA,AL,WS,1B,58.0,63.0,129.0,56.0,4.0,1.0,16.0,1.0,,,
34,devliar01,1905,NY1,NL,WS,3B,58.0,63.0,135.0,9.0,49.0,13.0,1.0,1.0,,,
35,donlimi01,1905,NY1,NL,WS,CF,58.0,63.0,135.0,18.0,1.0,1.0,1.0,1.0,,,
36,gilbebi02,1905,NY1,NL,WS,2B,58.0,63.0,135.0,11.0,46.0,1.0,1.0,1.0,,,
37,hartsto01,1905,PHA,AL,WS,LF,58.0,63.0,129.0,11.0,4.0,13.0,9.0,1.0,,,
38,lordbr01,1905,PHA,AL,WS,CF,58.0,63.0,129.0,14.0,1.0,1.0,1.0,1.0,,,
39,mathech01,1905,NY1,NL,WS,P,29.0,38.0,82.0,2.0,28.0,26.0,1.0,1.0,,,
40,mcganda01,1905,NY1,NL,WS,1B,58.0,63.0,135.0,65.0,4.0,13.0,16.0,1.0,,,
41,mcginjo01,1905,NY1,NL,WS,P,15.0,26.0,52.0,1.0,19.0,1.0,1.0,1.0,,,
42,mertesa01,1905,NY1,NL,WS,LF,58.0,63.0,135.0,4.0,4.0,1.0,1.0,1.0,,,
43,murphda02,1905,PHA,AL,WS,2B,58.0,63.0,129.0,4.0,37.0,50.0,1.0,1.0,,,
44,planked01,1905,PHA,AL,WS,P,15.0,26.0,52.0,2.0,19.0,1.0,1.0,1.0,,,
45,powerdo01,1905,PHA,AL,WS,C,29.0,26.0,61.0,15.0,16.0,1.0,9.0,1.0,1.0,,
46,schreos01,1905,PHA,AL,WS,C,29.0,38.0,70.0,19.0,13.0,1.0,9.0,1.0,1.0,,
47,seyboso01,1905,PHA,AL,WS,RF,58.0,63.0,129.0,5.0,4.0,1.0,9.0,1.0,,,
48,altroni01,1906,CHA,AL,WS,P,15.0,26.0,55.0,8.0,34.0,1.0,9.0,1.0,,,
49,brownmo01,1906,CHN,NL,WS,P,29.0,38.0,60.0,2.0,34.0,13.0,1.0,1.0,,,
50,chancfr01,1906,CHN,NL,WS,1B,72.0,75.0,159.0,67.0,7.0,1.0,9.0,1.0,,,
51,davisge01,1906,CHA,AL,WS,SS,29.0,38.0,82.0,9.0,46.0,26.0,9.0,1.0,,,
52,donahji02,1906,CHA,AL,WS,1B,72.0,75.0,162.0,88.0,28.0,13.0,16.0,1.0,,,
53,doughpa01,1906,CHA,AL,WS,LF,72.0,75.0,162.0,5.0,1.0,13.0,1.0,1.0,,,
54,eversjo01,1906,CHN,NL,WS,2B,72.0,75.0,159.0,15.0,58.0,13.0,24.0,1.0,,,
55,hahned01,1906,CHA,AL,WS,RF,72.0,75.0,150.0,4.0,1.0,1.0,1.0,1.0,,,
56,hofmaso01,1906,CHN,NL,WS,CF,72.0,75.0,159.0,12.0,4.0,1.0,1.0,1.0,,,
57,isbelfr01,1906,CHA,AL,WS,2B,72.0,75.0,162.0,13.0,49.0,63.0,1.0,1.0,,,
58,jonesfi01,1906,CHA,AL,WS,CF,72.0,75.0,162.0,11.0,1.0,1.0,1.0,1.0,,,
59,klingjo01,1906,CHN,NL,WS,C,72.0,75.0,159.0,50.0,28.0,13.0,24.0,1.0,60.0,,
60,oneilbi01,1906,CHA,AL,WS,RF,1.0,1.0,13.0,2.0,1.0,1.0,1.0,1.0,,,
61,overaor01,1906,CHN,NL,WS,P,15.0,1.0,37.0,1.0,7.0,1.0,1.0,1.0,,,
62,owenfr01,1906,CHA,AL,WS,P,1.0,1.0,19.0,1.0,13.0,1.0,1.0,1.0,,,
63,pfiesja01,1906,CHN,NL,WS,P,15.0,13.0,32.0,1.0,7.0,13.0,1.0,1.0,,,
64,reulbed01,1906,CHN,NL,WS,P,15.0,26.0,34.0,1.0,13.0,1.0,1.0,1.0,,,
65,rohege01,1906,CHA,AL,WS,3B,72.0,75.0,162.0,5.0,52.0,38.0,1.0,1.0,,,
66,schulfr01,1906,CHN,NL,WS,RF,72.0,75.0,159.0,8.0,4.0,1.0,9.0,1.0,,,
67,sheckji01,1906,CHN,NL,WS,LF,72.0,75.0,159.0,12.0,4.0,1.0,9.0,1.0,,,
68,steinha01,1906,CHN,NL,WS,3B,72.0,75.0,159.0,4.0,28.0,13.0,1.0,1.0,,,
69,sullibi03,1906,CHA,AL,WS,C,72.0,75.0,162.0,39.0,31.0,26.0,9.0,1.0,1.0,,
70,tannele01,1906,CHA,AL,WS,SS,29.0,38.0,82.0,2.0,25.0,1.0,1.0,1.0,,,
71,tinkejo01,1906,CHN,NL,WS,SS,72.0,75.0,159.0,12.0,61.0,26.0,1.0,1.0,,,
72,walshed01,1906,CHA,AL,WS,P,15.0,26.0,46.0,1.0,16.0,13.0,1.0,1.0,,,
73,whitedo01,1906,CHA,AL,WS,P,29.0,26.0,46.0,2.0,10.0,1.0,1.0,1.0,,,
74,archeji01,1907,DET,AL,WS,C,1.0,13.0,28.0,5.0,4.0,1.0,1.0,1.0,1.0,,
75,brownmo01,1907,CHN,NL,WS,P,1.0,13.0,28.0,2.0,4.0,1.0,1.0,1.0,,,
76,chancfr01,1907,CHN,NL,WS,1B,43.0,50.0,117.0,49.0,4.0,1.0,24.0,1.0,,,
77,cobbty01,1907,DET,AL,WS,RF,58.0,63.0,138.0,12.0,1.0,1.0,1.0,1.0,,,
78,coughbi01,1907,DET,AL,WS,3B,58.0,63.0,138.0,11.0,22.0,26.0,1.0,1.0,,,
79,crawfsa01,1907,DET,AL,WS,CF,58.0,63.0,138.0,8.0,7.0,1.0,9.0,1.0,,,
80,donovbi01,1907,DET,AL,WS,P,15.0,26.0,64.0,3.0,10.0,1.0,1.0,1.0,,,
81,eversjo01,1907,CHN,NL,WS,2B,58.0,63.0,135.0,13.0,37.0,26.0,16.0,1.0,,,
82,eversjo01,1907,CHN,NL,WS,SS,1.0,1.0,10.0,1.0,1.0,13.0,1.0,1.0,,,
83,howarde01,1907,CHN,NL,WS,1B,1.0,13.0,28.0,12.0,4.0,1.0,1.0,1.0,,,
84,jonesda01,1907,DET,AL,WS,LF,58.0,63.0,138.0,12.0,7.0,13.0,1.0,1.0,,,
85,killied01,1907,DET,AL,WS,P,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,
86,klingjo01,1907,CHN,NL,WS,C,58.0,63.0,144.0,28.0,31.0,13.0,1.0,1.0,1.0,,
87,mullige01,1907,DET,AL,WS,P,15.0,26.0,52.0,2.0,16.0,1.0,1.0,1.0,,,
88,olearch01,1907,DET,AL,WS,SS,58.0,63.0,138.0,14.0,46.0,26.0,1.0,1.0,,,
89,overaor01,1907,CHN,NL,WS,P,15.0,26.0,55.0,1.0,22.0,1.0,1.0,1.0,,,
90,paynefr01,1907,DET,AL,WS,C,1.0,13.0,25.0,8.0,4.0,13.0,1.0,1.0,1.0,,
91,pfiesja01,1907,CHN,NL,WS,P,1.0,13.0,28.0,1.0,1.0,1.0,1.0,1.0,,,
92,reulbed01,1907,CHN,NL,WS,P,15.0,13.0,37.0,2.0,10.0,1.0,1.0,1.0,,,
93,rossmcl01,1907,DET,AL,WS,1B,58.0,63.0,138.0,52.0,13.0,13.0,9.0,1.0,,,
94,schaege01,1907,DET,AL,WS,2B,58.0,63.0,138.0,13.0,55.0,1.0,16.0,1.0,,,
95,schmibo01,1907,DET,AL,WS,C,29.0,38.0,88.0,23.0,19.0,26.0,1.0,1.0,1.0,,
96,schulfr01,1907,CHN,NL,WS,RF,58.0,63.0,144.0,5.0,7.0,13.0,1.0,1.0,,,
97,sheckji01,1907,CHN,NL,WS,LF,58.0,63.0,144.0,12.0,1.0,1.0,1.0,1.0,,,
98,sieveed01,1907,DET,AL,WS,P,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,,,
99,slaglji01,1907,CHN,NL,WS,CF,58.0,63.0,144.0,15.0,1.0,13.0,1.0,1.0,,,
100,steinha01,1907,CHN,NL,WS,3B,58.0,63.0,144.0,11.0,19.0,13.0,9.0,1.0,,,
101,tinkejo01,1907,CHN,NL,WS,SS,58.0,63.0,135.0,18.0,70.0,38.0,39.0,1.0,,,
102,zimmehe01,1907,CHN,NL,WS,2B,1.0,1.0,10.0,1.0,7.0,1.0,1.0,1.0,,,
103,brownmo01,1908,CHN,NL,WS,P,15.0,13.0,34.0,1.0,19.0,1.0,9.0,1.0,,,
104,chancfr01,1908,CHN,NL,WS,1B,58.0,63.0,135.0,72.0,1.0,13.0,24.0,1.0,,,
105,cobbty01,1908,DET,AL,WS,RF,58.0,63.0,132.0,4.0,1.0,13.0,1.0,1.0,,,
106,coughbi01,1908,DET,AL,WS,3B,29.0,38.0,82.0,4.0,19.0,13.0,9.0,1.0,,,
107,crawfsa01,1908,DET,AL,WS,CF,58.0,63.0,132.0,18.0,1.0,1.0,1.0,1.0,,,
108,donovbi01,1908,DET,AL,WS,P,15.0,26.0,52.0,2.0,7.0,13.0,1.0,1.0,,,
109,downsre01,1908,DET,AL,WS,2B,15.0,26.0,52.0,3.0,25.0,13.0,9.0,1.0,,,
110,eversjo01,1908,CHN,NL,WS,2B,58.0,63.0,135.0,6.0,61.0,13.0,9.0,1.0,,,
111,hofmaso01,1908,CHN,NL,WS,CF,58.0,63.0,135.0,12.0,4.0,1.0,9.0,1.0,,,
112,killied01,1908,DET,AL,WS,P,1.0,13.0,8.0,1.0,4.0,1.0,1.0,1.0,,,
113,klingjo01,1908,CHN,NL,WS,C,58.0,63.0,135.0,37.0,16.0,1.0,9.0,1.0,21.0,,
114,mcintma01,1908,DET,AL,WS,LF,58.0,63.0,132.0,12.0,1.0,13.0,1.0,1.0,,,
115,mullige01,1908,DET,AL,WS,P,1.0,13.0,28.0,1.0,4.0,1.0,1.0,1.0,,,
116,olearch01,1908,DET,AL,WS,SS,58.0,63.0,132.0,9.0,37.0,13.0,24.0,1.0,,,
117,overaor01,1908,CHN,NL,WS,P,29.0,26.0,56.0,1.0,7.0,1.0,1.0,1.0,,,
118,pfiesja01,1908,CHN,NL,WS,P,1.0,13.0,25.0,1.0,1.0,1.0,1.0,1.0,,,
119,reulbed01,1908,CHN,NL,WS,P,15.0,13.0,24.0,1.0,16.0,1.0,1.0,1.0,,,
120,rossmcl01,1908,DET,AL,WS,1B,58.0,63.0,132.0,53.0,16.0,26.0,31.0,1.0,,,
121,schaege01,1908,DET,AL,WS,2B,29.0,38.0,82.0,12.0,25.0,1.0,24.0,1.0,,,
122,schaege01,1908,DET,AL,WS,3B,15.0,26.0,52.0,2.0,10.0,13.0,1.0,1.0,,,
123,schmibo01,1908,DET,AL,WS,C,43.0,50.0,106.0,25.0,22.0,1.0,9.0,1.0,21.0,,
124,schulfr01,1908,CHN,NL,WS,RF,58.0,63.0,135.0,4.0,4.0,1.0,1.0,1.0,,,
125,sheckji01,1908,CHN,NL,WS,LF,58.0,63.0,135.0,9.0,1.0,1.0,1.0,1.0,,,
126,steinha01,1908,CHN,NL,WS,3B,58.0,63.0,135.0,5.0,34.0,1.0,1.0,1.0,,,
127,summeed01,1908,DET,AL,WS,P,15.0,13.0,45.0,1.0,22.0,1.0,1.0,1.0,,,
128,thomair01,1908,DET,AL,WS,C,1.0,13.0,28.0,11.0,7.0,1.0,1.0,1.0,1.0,,
129,tinkejo01,1908,CHN,NL,WS,SS,58.0,63.0,135.0,10.0,61.0,1.0,16.0,1.0,,,
130,wintege01,1908,DET,AL,WS,P,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
131,abstebi01,1909,PIT,NL,WS,1B,86.0,88.0,183.0,77.0,13.0,63.0,24.0,1.0,,,
132,adamsba01,1909,PIT,NL,WS,P,29.0,38.0,82.0,1.0,16.0,1.0,1.0,1.0,,,
133,bushdo01,1909,DET,AL,WS,SS,86.0,88.0,183.0,11.0,55.0,63.0,24.0,1.0,,,
134,byrnebo01,1909,PIT,NL,WS,3B,72.0,88.0,156.0,13.0,46.0,1.0,16.0,1.0,,,
135,camniho01,1909,PIT,NL,WS,P,15.0,13.0,11.0,1.0,7.0,1.0,1.0,1.0,,,
136,clarkfr01,1909,PIT,NL,WS,LF,86.0,88.0,183.0,22.0,1.0,13.0,1.0,1.0,,,
137,cobbty01,1909,DET,AL,WS,RF,86.0,88.0,183.0,10.0,1.0,13.0,1.0,1.0,,,
138,crawfsa01,1909,DET,AL,WS,1B,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,,,
139,crawfsa01,1909,DET,AL,WS,CF,86.0,88.0,180.0,19.0,1.0,26.0,1.0,1.0,,,
140,delahji01,1909,DET,AL,WS,2B,86.0,88.0,183.0,12.0,52.0,26.0,9.0,1.0,,,
141,donovbi01,1909,DET,AL,WS,P,15.0,26.0,37.0,1.0,16.0,13.0,1.0,1.0,,,
142,gibsoge01,1909,PIT,NL,WS,C,86.0,88.0,183.0,31.0,31.0,1.0,1.0,1.0,1.0,,
143,hyattha01,1909,PIT,NL,WS,CF,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,,,
144,jonesda01,1909,DET,AL,WS,CF,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
145,jonesda01,1909,DET,AL,WS,LF,86.0,88.0,180.0,16.0,1.0,13.0,1.0,1.0,,,
146,jonesto01,1909,DET,AL,WS,1B,86.0,88.0,180.0,80.0,4.0,13.0,9.0,1.0,,,
147,leachto01,1909,PIT,NL,WS,3B,1.0,1.0,28.0,5.0,7.0,1.0,1.0,1.0,,,
148,leachto01,1909,PIT,NL,WS,CF,72.0,88.0,156.0,18.0,4.0,1.0,1.0,1.0,,,
149,leifile01,1909,PIT,NL,WS,P,1.0,13.0,13.0,1.0,16.0,1.0,1.0,1.0,,,
150,maddoni01,1909,PIT,NL,WS,P,1.0,13.0,28.0,1.0,4.0,1.0,1.0,1.0,,,
151,mcintma01,1909,DET,AL,WS,LF,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
152,milledo02,1909,PIT,NL,WS,2B,86.0,88.0,183.0,19.0,43.0,13.0,9.0,1.0,,,
153,moriage02,1909,DET,AL,WS,3B,86.0,88.0,162.0,9.0,46.0,1.0,16.0,1.0,,,
154,mullige01,1909,DET,AL,WS,P,43.0,38.0,97.0,1.0,37.0,1.0,1.0,1.0,,,
155,olearch01,1909,DET,AL,WS,3B,1.0,1.0,22.0,2.0,4.0,1.0,1.0,1.0,,,
156,phillde01,1909,PIT,NL,WS,P,15.0,1.0,19.0,2.0,7.0,26.0,1.0,1.0,,,
