,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,weight,height,bats,throws
0,aardsda01,1780.0,100.0,87.0,USA,CO,,,,,,189.0,80.0,R,R
1,aaronha01,1261.0,10.0,14.0,USA,AL,1996.0,1.0,70.0,USA,GA,145.0,73.0,R,R
2,aaronto01,1316.0,64.0,14.0,USA,AL,1501.0,64.0,50.0,USA,GA,157.0,80.0,R,R
3,aasedo01,1482.0,73.0,24.0,USA,CA,,,,,,157.0,80.0,R,R
4,abadan01,1681.0,64.0,80.0,USA,FL,,,,,,150.0,75.0,L,L
5,abadfe01,1824.0,100.0,54.0,D.R.,La Romana,,,,,,214.0,78.0,L,L
6,abadijo01,332.0,91.0,11.0,USA,PA,443.0,37.0,54.0,USA,NJ,160.0,73.0,R,R
7,abbated01,631.0,28.0,47.0,USA,PA,1139.0,1.0,18.0,USA,FL,132.0,70.0,R,R
8,abbeybe01,542.0,91.0,34.0,USA,VT,1206.0,46.0,34.0,USA,VT,139.0,70.0,R,R
9,abbeych01,509.0,82.0,44.0,USA,NE,724.0,28.0,87.0,USA,CA,131.0,63.0,L,L
10,abbotco01,1935.0,73.0,64.0,USA,CA,,,,,,195.0,78.0,R,R
11,abbotda01,465.0,19.0,50.0,USA,OH,778.0,10.0,41.0,USA,MI,157.0,70.0,R,R
12,abbotfr01,598.0,82.0,70.0,USA,OH,845.0,46.0,34.0,USA,CA,145.0,68.0,R,R
13,abbotgl01,1449.0,10.0,50.0,USA,AR,,,,,,170.0,88.0,R,R
14,abbotje01,1681.0,64.0,54.0,USA,GA,,,,,,157.0,78.0,R,L
15,abbotji01,1625.0,73.0,60.0,USA,MI,,,,,,170.0,80.0,L,L
16,abbotku01,1647.0,46.0,4.0,USA,OH,,,,,,145.0,70.0,R,R
17,abbotky01,1636.0,10.0,57.0,USA,MA,,,,,,170.0,83.0,L,L
18,abbotod01,730.0,73.0,14.0,USA,PA,818.0,28.0,41.0,USA,DC,126.0,65.0,L,R
19,abbotpa01,1625.0,73.0,47.0,USA,CA,,,,,,151.0,80.0,R,R
20,aberal01,1183.0,55.0,100.0,USA,OH,1621.0,37.0,64.0,USA,OH,164.0,78.0,L,L
21,abercda01,332.0,1.0,4.0,USA,OK,898.0,91.0,34.0,USA,PA,,,,
22,abercre01,1769.0,55.0,47.0,USA,GA,,,,,,189.0,80.0,R,R
23,abernbi01,1205.0,1.0,97.0,USA,CA,1795.0,10.0,60.0,USA,CA,157.0,68.0,R,R
24,abernbr01,1736.0,73.0,74.0,USA,GA,,,,,,151.0,75.0,R,R
25,abernte01,1117.0,82.0,97.0,USA,NC,1728.0,91.0,50.0,USA,NC,182.0,78.0,R,L
26,abernte02,1250.0,19.0,18.0,USA,NC,1769.0,100.0,50.0,USA,NC,189.0,83.0,R,R
27,abernwo01,1051.0,10.0,1.0,USA,NC,1635.0,100.0,14.0,USA,KY,132.0,73.0,L,L
28,aberscl01,1117.0,64.0,90.0,USA,IL,1353.0,46.0,74.0,USA,CA,170.0,73.0,R,R
29,ablesha01,697.0,82.0,11.0,USA,TX,1059.0,10.0,24.0,USA,TX,170.0,78.0,R,L
30,abnersh01,1614.0,46.0,54.0,USA,OH,,,,,,157.0,75.0,R,R
31,abramca01,1150.0,19.0,4.0,USA,PA,1675.0,10.0,80.0,USA,FL,151.0,73.0,L,L
32,abramcj01,1990.0,82.0,8.0,USA,GA,,,,,,151.0,78.0,L,R
33,abramge01,852.0,91.0,27.0,USA,WA,1528.0,100.0,14.0,USA,FL,132.0,65.0,R,R
